year,gender,age,population
2002,2,8,0
2002,2,17,25
2002,2,20,291
2002,2,23,375
2002,2,26,212
2002,2,29,108
2002,2,38,74
2002,2,47,0
2002,2,110,0
2002,1,8,0
2002,1,17,0
2002,1,20,0
2002,1,23,0
2002,1,26,0
2002,1,29,0
2002,1,38,0
2002,1,47,0
2002,1,110,0
2003,2,8,0
2003,2,17,0
2003,2,20,90
2003,2,23,120
2003,2,26,87
2003,2,29,28
2003,2,38,17
2003,2,47,0
2003,2,110,0
2003,1,8,0
2003,1,17,0
2003,1,20,0
2003,1,23,0
2003,1,26,0
2003,1,29,0
2003,1,38,0
2003,1,47,0
2003,1,110,0
2004,2,8,0
2004,2,17,26
2004,2,20,110
2004,2,23,85
2004,2,26,29
2004,2,29,0
2004,2,38,0
2004,2,47,0
2004,2,110,0
2004,1,8,0
2004,1,17,0
2004,1,20,0
2004,1,23,0
2004,1,26,0
2004,1,29,0
2004,1,38,0
2004,1,47,0
2004,1,110,0
2005,2,8,50
2005,2,17,217
2005,2,20,362
2005,2,23,267
2005,2,26,169
2005,2,29,13
2005,2,38,96
2005,2,47,15
2005,2,110,0
2005,1,8,69
2005,1,17,253
2005,1,20,12
2005,1,23,0
2005,1,26,13
2005,1,29,0
2005,1,38,33
2005,1,47,35
2005,1,110,13
2006,2,8,0
2006,2,17,113
2006,2,20,306
2006,2,23,279
2006,2,26,212
2006,2,29,98
2006,2,38,166
2006,2,47,63
2006,2,110,0
2006,1,8,0
2006,1,17,57
2006,1,20,12
2006,1,23,22
2006,1,26,0
2006,1,29,38
2006,1,38,90
2006,1,47,59
2006,1,110,19
2007,2,8,39
2007,2,17,119
2007,2,20,238
2007,2,23,297
2007,2,26,109
2007,2,29,98
2007,2,38,188
2007,2,47,36
2007,2,110,0
2007,1,8,53
2007,1,17,145
2007,1,20,11
2007,1,23,18
2007,1,26,16
2007,1,29,14
2007,1,38,58
2007,1,47,30
2007,1,110,0
2008,2,8,0
2008,2,17,102
2008,2,20,114
2008,2,23,136
2008,2,26,95
2008,2,29,85
2008,2,38,109
2008,2,47,24
2008,2,110,0
2008,1,8,24
2008,1,17,76
2008,1,20,0
2008,1,23,0
2008,1,26,0
2008,1,29,0
2008,1,38,48
2008,1,47,15
2008,1,110,0
2009,2,8,51
2009,2,17,98
2009,2,20,80
2009,2,23,122
2009,2,26,143
2009,2,29,65
2009,2,38,89
2009,2,47,17
2009,2,110,0
2009,1,8,56
2009,1,17,41
2009,1,20,15
2009,1,23,0
2009,1,26,0
2009,1,29,0
2009,1,38,14
2009,1,47,0
2009,1,110,0
2010,2,8,203
2010,2,17,138
2010,2,20,91
2010,2,23,92
2010,2,26,114
2010,2,29,60
2010,2,38,138
2010,2,47,32
2010,2,110,22
2010,1,8,91
2010,1,17,250
2010,1,20,31
2010,1,23,0
2010,1,26,24
2010,1,29,0
2010,1,38,126
2010,1,47,51
2010,1,110,0
2011,2,8,64
2011,2,17,242
2011,2,20,189
2011,2,23,143
2011,2,26,132
2011,2,29,88
2011,2,38,196
2011,2,47,67
2011,2,110,74
2011,1,8,82
2011,1,17,87
2011,1,20,24
2011,1,23,24
2011,1,26,14
2011,1,29,40
2011,1,38,181
2011,1,47,135
2011,1,110,41
2012,2,8,28
2012,2,17,232
2012,2,20,37
2012,2,23,61
2012,2,26,82
2012,2,29,40
2012,2,38,148
2012,2,47,63
2012,2,110,29
2012,1,8,12
2012,1,17,139
2012,1,20,0
2012,1,23,25
2012,1,26,28
2012,1,29,59
2012,1,38,235
2012,1,47,128
2012,1,110,49
2013,2,8,84
2013,2,17,243
2013,2,20,98
2013,2,23,80
2013,2,26,84
2013,2,29,92
2013,2,38,225
2013,2,47,112
2013,2,110,118
2013,1,8,93
2013,1,17,201
2013,1,20,18
2013,1,23,58
2013,1,26,56
2013,1,29,79
2013,1,38,217
2013,1,47,140
2013,1,110,115
2014,2,8,54
2014,2,17,190
2014,2,20,130
2014,2,23,136
2014,2,26,156
2014,2,29,193
2014,2,38,669
2014,2,47,262
2014,2,110,156
2014,1,8,66
2014,1,17,268
2014,1,20,26
2014,1,23,79
2014,1,26,92
2014,1,29,112
2014,1,38,359
2014,1,47,127
2014,1,110,54
2015,2,8,101
2015,2,17,857
2015,2,20,361
2015,2,23,297
2015,2,26,188
2015,2,29,179
2015,2,38,355
2015,2,47,105
2015,2,110,122
2015,1,8,92
2015,1,17,102
2015,1,20,43
2015,1,23,116
2015,1,26,176
2015,1,29,191
2015,1,38,586
2015,1,47,292
2015,1,110,119
2016,2,8,89
2016,2,17,1320
2016,2,20,620
2016,2,23,435
2016,2,26,401
2016,2,29,226
2016,2,38,534
2016,2,47,161
2016,2,110,123
2016,1,8,87
2016,1,17,109
2016,1,20,29
2016,1,23,50
2016,1,26,88
2016,1,29,95
2016,1,38,512
2016,1,47,211
2016,1,110,146
2017,2,8,95
2017,2,17,1531
2017,2,20,698
2017,2,23,545
2017,2,26,446
2017,2,29,357
2017,2,38,727
2017,2,47,257
2017,2,110,148
2017,1,8,59
2017,1,17,154
2017,1,20,28
2017,1,23,62
2017,1,26,97
2017,1,29,102
2017,1,38,369
2017,1,47,191
2017,1,110,104
2018,2,8,13
2018,2,17,130
2018,2,20,45
2018,2,23,62
2018,2,26,20
2018,2,29,21
2018,2,38,79
2018,2,47,18
2018,2,110,18
2018,1,8,12
2018,1,17,166
2018,1,20,30
2018,1,23,25
2018,1,26,28
2018,1,29,15
2018,1,38,67
2018,1,47,33
2018,1,110,32
,,
