year,gender,age,country,population
2002,Female,0--8,AF,0
2002,Female,0--8,AL,0
2002,Female,0--8,BD,0
2002,Female,0--8,BF,0
2002,Female,0--8,BG,0
2002,Female,0--8,BO,0
2002,Female,0--8,BY,0
2002,Female,0--8,CD,0
2002,Female,0--8,CI,0
2002,Female,0--8,CN,0
2002,Female,0--8,CO,0
2002,Female,0--8,ER,0
2002,Female,0--8,GH,0
2002,Female,0--8,GN,0
2002,Female,0--8,GW,0
2002,Female,0--8,HT,0
2002,Female,0--8,ID,0
2002,Female,0--8,IN,0
2002,Female,0--8,KG,0
2002,Female,0--8,KH,0
2002,Female,0--8,KR,0
2002,Female,0--8,KZ,0
2002,Female,0--8,LA,0
2002,Female,0--8,LK,0
2002,Female,0--8,MD,0
2002,Female,0--8,MG,0
2002,Female,0--8,ML,0
2002,Female,0--8,MM,0
2002,Female,0--8,MX,0
2002,Female,0--8,NE,0
2002,Female,0--8,NG,0
2002,Female,0--8,NP,0
2002,Female,0--8,PH,0
2002,Female,0--8,RO,0
2002,Female,0--8,SL,0
2002,Female,0--8,SN,0
2002,Female,0--8,SV,0
2002,Female,0--8,TH,0
2002,Female,0--8,TJ,0
2002,Female,0--8,TM,0
2002,Female,0--8,UA,0
2002,Female,0--8,UG,0
2002,Female,0--8,US,0
2002,Female,0--8,UZ,0
2002,Female,0--8,Unknown,0
2002,Female,0--8,VN,0
2002,Female,0--8,ZZ,0
2002,Female,18--20,AF,0
2002,Female,18--20,AL,0
2002,Female,18--20,BD,0
2002,Female,18--20,BF,0
2002,Female,18--20,BG,0
2002,Female,18--20,BO,0
2002,Female,18--20,BY,0
2002,Female,18--20,CD,0
2002,Female,18--20,CI,0
2002,Female,18--20,CN,0
2002,Female,18--20,CO,11
2002,Female,18--20,ER,0
2002,Female,18--20,GH,0
2002,Female,18--20,GN,0
2002,Female,18--20,GW,0
2002,Female,18--20,HT,0
2002,Female,18--20,ID,0
2002,Female,18--20,IN,0
2002,Female,18--20,KG,0
2002,Female,18--20,KH,0
2002,Female,18--20,KR,0
2002,Female,18--20,KZ,0
2002,Female,18--20,LA,0
2002,Female,18--20,LK,0
2002,Female,18--20,MD,159
2002,Female,18--20,MG,0
2002,Female,18--20,ML,0
2002,Female,18--20,MM,0
2002,Female,18--20,MX,0
2002,Female,18--20,NE,0
2002,Female,18--20,NG,0
2002,Female,18--20,NP,0
2002,Female,18--20,PH,0
2002,Female,18--20,RO,121
2002,Female,18--20,SL,0
