year,gender,age,population
2002,Female,0--8,0
2002,Female,9--17,25
2002,Female,18--20,291
2002,Female,21--23,375
2002,Female,24--26,212
2002,Female,27--29,108
2002,Female,30--38,74
2002,Female,39--47,0
2002,Female,48+,0
2002,Male,0--8,0
2002,Male,9--17,0
2002,Male,18--20,0
2002,Male,21--23,0
2002,Male,24--26,0
2002,Male,27--29,0
2002,Male,30--38,0
2002,Male,39--47,0
2002,Male,48+,0
2003,Female,0--8,0
2003,Female,9--17,0
2003,Female,18--20,90
2003,Female,21--23,120
2003,Female,24--26,87
2003,Female,27--29,28
2003,Female,30--38,17
2003,Female,39--47,0
2003,Female,48+,0
2003,Male,0--8,0
2003,Male,9--17,0
2003,Male,18--20,0
2003,Male,21--23,0
2003,Male,24--26,0
2003,Male,27--29,0
2003,Male,30--38,0
2003,Male,39--47,0
2003,Male,48+,0
2004,Female,0--8,0
2004,Female,9--17,26
2004,Female,18--20,110
2004,Female,21--23,85
2004,Female,24--26,29
2004,Female,27--29,0
2004,Female,30--38,0
2004,Female,39--47,0
2004,Female,48+,0
2004,Male,0--8,0
2004,Male,9--17,0
2004,Male,18--20,0
2004,Male,21--23,0
2004,Male,24--26,0
2004,Male,27--29,0
2004,Male,30--38,0
2004,Male,39--47,0
2004,Male,48+,0
2005,Female,0--8,50
2005,Female,9--17,217
2005,Female,18--20,362
2005,Female,21--23,267
2005,Female,24--26,169
2005,Female,27--29,13
2005,Female,30--38,96
2005,Female,39--47,15
2005,Female,48+,0
2005,Male,0--8,69
2005,Male,9--17,253
2005,Male,18--20,12
2005,Male,21--23,0
2005,Male,24--26,13
2005,Male,27--29,0
2005,Male,30--38,33
2005,Male,39--47,35
2005,Male,48+,13
2006,Female,0--8,0
2006,Female,9--17,113
2006,Female,18--20,306
2006,Female,21--23,279
2006,Female,24--26,212
2006,Female,27--29,98
2006,Female,30--38,166
2006,Female,39--47,63
2006,Female,48+,0
2006,Male,0--8,0
2006,Male,9--17,57
2006,Male,18--20,12
2006,Male,21--23,22
2006,Male,24--26,0
2006,Male,27--29,38
2006,Male,30--38,90
2006,Male,39--47,59
2006,Male,48+,19
2007,Female,0--8,39
2007,Female,9--17,119
2007,Female,18--20,238
2007,Female,21--23,297
2007,Female,24--26,109
2007,Female,27--29,98
2007,Female,30--38,188
2007,Female,39--47,36
2007,Female,48+,0
2007,Male,0--8,53
2007,Male,9--17,145
2007,Male,18--20,11
2007,Male,21--23,18
2007,Male,24--26,16
2007,Male,27--29,14
2007,Male,30--38,58
2007,Male,39--47,30
2007,Male,48+,0
2008,Female,0--8,0
