Year of Registration,Type Of Exploitation,Type of Labour,Type of Sex
2002,Unknown,Unknown,Unknown
2002,Unknown,Unknown,Unknown
2002,Unknown,Unknown,Unknown
2002,Unknown,Unknown,Unknown
2002,Unknown,Unknown,Unknown
2002,Unknown,Unknown,Unknown
2002,Unknown,Unknown,Unknown
2002,Unknown,Unknown,Unknown
2002,Unknown,Unknown,Unknown
2002,Unknown,Unknown,Unknown
2002,Unknown,Unknown,Unknown
2002,Unknown,Unknown,Unknown
2002,Unknown,Unknown,Unknown
2002,Sexual exploitation,Unknown,Unknown
2002,Sexual exploitation,Unknown,Unknown
2002,Sexual exploitation,Unknown,Unknown
2002,Sexual exploitation,Unknown,Unknown
2002,Sexual exploitation,Unknown,Unknown
2002,Sexual exploitation,Unknown,Unknown
2002,Sexual exploitation,Unknown,Unknown
2002,Sexual exploitation,Unknown,Unknown
2002,Sexual exploitation,Unknown,Unknown
2002,Sexual exploitation,Unknown,Unknown
2002,Sexual exploitation,Unknown,Unknown
2002,Unknown,Unknown,Unknown
2002,Unknown,Unknown,Unknown
2002,Unknown,Unknown,Unknown
2002,Unknown,Unknown,Unknown
2002,Unknown,Unknown,Unknown
2002,Unknown,Unknown,Unknown
2002,Unknown,Unknown,Unknown
2002,Unknown,Unknown,Unknown
2002,Unknown,Unknown,Unknown
2002,Unknown,Unknown,Unknown
2002,Unknown,Unknown,Unknown
2002,Unknown,Unknown,Unknown
2002,Sexual exploitation,Unknown,Unknown
2002,Sexual exploitation,Unknown,Unknown
2002,Sexual exploitation,Unknown,Unknown
2002,Sexual exploitation,Unknown,Unknown
2002,Sexual exploitation,Unknown,Unknown
2002,Sexual exploitation,Unknown,Unknown
2002,Sexual exploitation,Unknown,Unknown
2002,Sexual exploitation,Unknown,Unknown
2002,Sexual exploitation,Unknown,Unknown
2002,Sexual exploitation,Unknown,Unknown
2002,Sexual exploitation,Unknown,Unknown
2002,Sexual exploitation,Unknown,Unknown
2002,Sexual exploitation,Unknown,Unknown
2002,Sexual exploitation,Unknown,Unknown
2002,Sexual exploitation,Unknown,Unknown
2002,Sexual exploitation,Unknown,Unknown
2002,Sexual exploitation,Unknown,Unknown
2002,Sexual exploitation,Unknown,Unknown
2002,Sexual exploitation,Unknown,Unknown
